
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |                                                                                                                                                                      :data |
|   FSTCX |  100 | 27.950000762939453 | 2003-07-17 | 28.329999923706055 | 2003-07-18 |  37.999916076660156 |   {:rsma200 1.084163294669935, :rsma30 0.9478753601130966, :sma200 25.78024998664856, :date #time/date "2003-07-17", :close 27.950000762939453, :sma30 29.487000020345054} |
|   FSTCX |  100 | 27.579999923706055 | 2003-07-21 |  28.15999984741211 | 2003-07-22 |   57.99999237060547 | {:rsma200 1.0663408596242934, :rsma30 0.9386486342751519, :sma200 25.864149980545044, :date #time/date "2003-07-21", :close 27.579999923706055, :sma30 29.382666651407877} |
|   FSUTX |  100 |  29.31999969482422 | 2003-07-21 | 29.889999389648438 | 2003-07-22 |  56.999969482421875 |    {:rsma200 1.0891449435967155, :rsma30 0.9446586315954976, :sma200 26.92019998550415, :date #time/date "2003-07-21", :close 29.31999969482422, :sma30 31.03766663869222} |
|   FSUTX |  100 | 28.809999465942383 | 2003-08-05 | 29.059999465942383 | 2003-08-06 |                25.0 |  {:rsma200 1.0563618946232982, :rsma30 0.9474791842370591, :sma200 27.27284996986389, :date #time/date "2003-08-05", :close 28.809999465942383, :sma30 30.406999905904133} |
|   FBIOX |  100 | 48.689998626708984 | 2003-10-17 |   49.5099983215332 | 2003-10-21 |   81.99996948242188 |  {:rsma200 1.073074371608952, :rsma30 0.9498695860193578, :sma200 45.374300155639645, :date #time/date "2003-10-17", :close 48.689998626708984, :sma30 51.259666951497394} |
|   FBIOX |  100 |  47.91999816894531 | 2003-10-22 | 48.380001068115234 | 2003-10-23 |   46.00028991699219 |     {:rsma200 1.052995841859915, :rsma30 0.9430904577768833, :sma200 45.5082501411438, :date #time/date "2003-10-22", :close 47.91999816894531, :sma30 50.811666870117186} |
|   FSLBX |  100 |  45.31999969482422 | 2003-11-20 | 45.900001525878906 | 2003-11-21 |   58.00018310546875 |      {:rsma200 1.08663855832128, :rsma30 0.9493750382608463, :sma200 41.70659999847412, :date #time/date "2003-11-20", :close 45.31999969482422, :sma30 47.73666661580403} |
|   FDCPX |  100 |   34.2599983215332 | 2003-12-09 |  35.27000045776367 | 2003-12-11 |  101.00021362304688 |    {:rsma200 1.1554649620563164, :rsma30 0.9498109736436395, :sma200 29.650400009155273, :date #time/date "2003-12-09", :close 34.2599983215332, :sma30 36.07033322652181} |
|   FSAGX |  100 | 28.299999237060547 | 2003-12-16 | 28.440000534057617 | 2003-12-17 |  14.000129699707031 |  {:rsma200 1.162334579502036, :rsma30 0.9476503822673471, :sma200 24.347549953460693, :date #time/date "2003-12-16", :close 28.299999237060547, :sma30 29.863333320617677} |
|   FSAGX |  100 |   28.3700008392334 | 2003-12-18 | 28.559999465942383 | 2003-12-24 |  18.999862670898438 |    {:rsma200 1.1622833882346253, :rsma30 0.9498566169936132, :sma200 24.408849964141847, :date #time/date "2003-12-18", :close 28.3700008392334, :sma30 29.86766668955485} |
|   FSAGX |  100 |   27.6200008392334 | 2004-01-15 | 28.889999389648438 | 2004-01-20 |   126.9998550415039 |    {:rsma200 1.0938181013340724, :rsma30 0.9296324838000979, :sma200 25.250999965667724, :date #time/date "2004-01-15", :close 27.6200008392334, :sma30 29.71066665649414} |
|   FSDPX |  100 | 33.189998626708984 | 2004-01-29 |  33.70000076293945 | 2004-01-30 |  51.000213623046875 |  {:rsma200 1.1490014576814684, :rsma30 0.9391269531497218, :sma200 28.885949974060058, :date #time/date "2004-01-29", :close 33.189998626708984, :sma30 35.34133326212565} |
|   FSAGX |  100 |   27.1299991607666 | 2004-01-30 | 26.739999771118164 | 2004-02-02 |  -38.99993896484375 |    {:rsma200 1.056723386670578, :rsma30 0.9393718780836701, :sma200 25.673699951171876, :date #time/date "2004-01-30", :close 27.1299991607666, :sma30 28.880999946594237} |
|   FSAGX |  100 | 27.170000076293945 | 2004-02-03 | 26.860000610351562 | 2004-02-04 |  -30.99994659423828 |   {:rsma200 1.055485851201904, :rsma30 0.9439162568080289, :sma200 25.741699943542482, :date #time/date "2004-02-03", :close 27.170000076293945, :sma30 28.78433322906494} |
|   FSDPX |  100 | 33.290000915527344 | 2004-02-02 | 34.369998931884766 | 2004-02-06 |  107.99980163574219 |  {:rsma200 1.1483488283128809, :rsma30 0.9430951355401784, :sma200 28.989449977874756, :date #time/date "2004-02-02", :close 33.290000915527344, :sma30 35.29866676330566} |
|   FSDCX |  100 | 18.950000762939453 | 2004-03-10 | 19.049999237060547 | 2004-03-12 |   9.999847412109375 |  {:rsma200 1.1956854841624833, :rsma30 0.9464589365661586, :sma200 15.848650012016297, :date #time/date "2004-03-10", :close 18.950000762939453, :sma30 20.02199993133545} |
|   FSDAX |  100 |  51.93000030517578 | 2004-03-11 |  52.66999816894531 | 2004-03-12 |   73.99978637695312 |      {:rsma200 1.059078343812088, :rsma30 0.9422459391460924, :sma200 49.0332000541687, :date #time/date "2004-03-11", :close 51.93000030517578, :sma30 55.11299985249837} |
|   FSELX |  100 |              41.25 | 2004-03-10 | 41.880001068115234 | 2004-03-12 |   63.00010681152344 |                 {:rsma200 1.06949376444327, :rsma30 0.9388371405842599, :sma200 38.569649839401244, :date #time/date "2004-03-10", :close 41.25, :sma30 43.93733291625976} |
|   FSDAX |  100 |              51.75 | 2004-03-15 |  51.63999938964844 | 2004-03-16 |  -11.00006103515625 |               {:rsma200 1.0528714387735474, :rsma30 0.9423254386945288, :sma200 49.151300048828126, :date #time/date "2004-03-15", :close 51.75, :sma30 54.91733309427897} |
|   FSELX |  100 |               41.0 | 2004-03-16 |  41.93000030517578 | 2004-03-17 |   93.00003051757812 |                {:rsma200 1.0575159761996593, :rsma30 0.9420018006874081, :sma200 38.77009985923767, :date #time/date "2004-03-16", :close 41.0, :sma30 43.524332936604814} |
|   FWRLX |  100 |  4.539999961853027 | 2004-03-22 |  4.659999847412109 | 2004-03-25 |  11.999988555908203 |     {:rsma200 1.169786515158897, :rsma30 0.946293333351356, :sma200 3.881050006151199, :date #time/date "2004-03-22", :close 4.539999961853027, :sma30 4.7976666450500485} |
|   FSTCX |  100 |  33.06999969482422 | 2004-03-22 |  33.58000183105469 | 2004-03-25 |  51.000213623046875 |   {:rsma200 1.074451308494716, :rsma30 0.9370395417927311, :sma200 30.778500089645387, :date #time/date "2004-03-22", :close 33.06999969482422, :sma30 35.292000198364256} |
