
|  :dir | :prct | :len |               :low |              :high |             :close |  :dt-first |   :dt-last |
| :down |  10.2 |   11 | 54.790000915527344 | 60.380001068115234 | 54.790000915527344 | 2002-04-02 | 2002-04-16 |
|   :up |   5.5 |    4 | 54.790000915527344 | 57.810001373291016 | 57.810001373291016 | 2002-04-16 | 2002-04-17 |
| :down |   2.6 |    3 | 56.369998931884766 | 57.810001373291016 | 56.369998931884766 | 2002-04-17 | 2002-04-19 |
|   :up |   1.5 |    2 | 56.369998931884766 |  57.20000076293945 |  57.20000076293945 | 2002-04-19 | 2002-04-22 |
| :down |  17.6 |   13 | 48.619998931884766 |  57.20000076293945 | 48.619998931884766 | 2002-04-22 | 2002-05-08 |
|   :up |  13.1 |    3 | 48.619998931884766 | 54.970001220703125 | 54.970001220703125 | 2002-05-08 | 2002-05-09 |
| :down |   9.8 |    3 |  50.04999923706055 | 54.970001220703125 |  50.04999923706055 | 2002-05-09 | 2002-05-13 |
|   :up |  11.9 |    6 |  50.04999923706055 | 56.029998779296875 | 56.029998779296875 | 2002-05-13 | 2002-05-20 |
| :down |   7.4 |    3 | 52.189998626708984 | 56.029998779296875 | 52.189998626708984 | 2002-05-20 | 2002-05-22 |
|   :up |   5.0 |    3 | 52.189998626708984 |  54.81999969482422 |  54.81999969482422 | 2002-05-22 | 2002-05-24 |
| :down |  10.9 |    8 |  49.41999816894531 |  54.81999969482422 |  49.41999816894531 | 2002-05-24 | 2002-06-05 |
|   :up |  13.3 |   14 |  49.41999816894531 |   55.9900016784668 |   55.9900016784668 | 2002-06-05 | 2002-06-21 |
| :down |   7.1 |    4 | 52.279998779296875 |   55.9900016784668 | 52.279998779296875 | 2002-06-21 | 2002-06-24 |
|   :up |   3.6 |    2 | 52.279998779296875 |  54.15999984741211 |  54.15999984741211 | 2002-06-24 | 2002-06-25 |
| :down |   2.3 |    2 |  52.95000076293945 |  54.15999984741211 |  52.95000076293945 | 2002-06-25 | 2002-06-26 |
|   :up |   3.7 |    4 |  52.95000076293945 |  54.91999816894531 |  54.91999816894531 | 2002-06-26 | 2002-07-01 |
| :down |   6.8 |    5 | 51.439998626708984 |  54.91999816894531 | 51.439998626708984 | 2002-07-01 | 2002-07-05 |
|   :up |   6.6 |    3 | 51.439998626708984 | 54.849998474121094 | 54.849998474121094 | 2002-07-05 | 2002-07-08 |
| :down |  28.1 |   16 |  42.83000183105469 | 54.849998474121094 |  42.83000183105469 | 2002-07-08 | 2002-07-29 |
|   :up |  12.7 |    5 |  42.83000183105469 |              48.25 |              48.25 | 2002-07-29 | 2002-08-01 |
| :down |   9.7 |    6 |   43.9900016784668 |              48.25 |   43.9900016784668 | 2002-08-01 | 2002-08-06 |
|   :up |  11.2 |    6 |   43.9900016784668 |  48.90999984741211 |  48.90999984741211 | 2002-08-06 | 2002-08-13 |
| :down |   3.9 |    4 | 47.060001373291016 |  48.90999984741211 | 47.060001373291016 | 2002-08-13 | 2002-08-14 |
|   :up |  13.1 |   10 | 47.060001373291016 |  53.22999954223633 |  53.22999954223633 | 2002-08-14 | 2002-08-27 |
| :down |   7.8 |    5 | 49.380001068115234 |  53.22999954223633 | 49.380001068115234 | 2002-08-27 | 2002-08-29 |
|   :up |   2.4 |    2 | 49.380001068115234 |  50.58000183105469 |  50.58000183105469 | 2002-08-29 | 2002-08-30 |
| :down |   7.6 |    3 |  47.02000045776367 |  50.58000183105469 |  47.02000045776367 | 2002-08-30 | 2002-09-04 |
|   :up |   2.5 |    2 |  47.02000045776367 | 48.209999084472656 | 48.209999084472656 | 2002-09-04 | 2002-09-05 |
| :down |   5.0 |    2 |  45.90999984741211 | 48.209999084472656 |  45.90999984741211 | 2002-09-05 | 2002-09-06 |
|   :up |   8.5 |    4 |  45.90999984741211 | 49.790000915527344 | 49.790000915527344 | 2002-09-06 | 2002-09-11 |
| :down |  13.8 |   15 |   43.7400016784668 | 49.790000915527344 |   43.7400016784668 | 2002-09-11 | 2002-10-01 |
|   :up |   5.7 |    3 |   43.7400016784668 |  46.22999954223633 |  46.22999954223633 | 2002-10-01 | 2002-10-03 |
| :down |   5.6 |    5 |  43.77000045776367 |  46.22999954223633 |  43.77000045776367 | 2002-10-03 | 2002-10-08 |
|   :up |   2.8 |    3 |  43.77000045776367 |   44.9900016784668 |   44.9900016784668 | 2002-10-08 | 2002-10-09 |
| :down |   2.3 |    2 |   43.9900016784668 |   44.9900016784668 |   43.9900016784668 | 2002-10-09 | 2002-10-10 |
|   :up |  32.4 |   42 |   43.9900016784668 |  58.22999954223633 |  58.22999954223633 | 2002-10-10 | 2002-12-09 |
| :down |  10.9 |   14 |               52.5 |  58.22999954223633 |               52.5 | 2002-12-09 | 2002-12-16 |
|   :up |   3.8 |    3 |               52.5 |  54.47999954223633 |  54.47999954223633 | 2002-12-16 | 2002-12-18 |
| :down |   2.7 |    5 | 53.040000915527344 |  54.47999954223633 | 53.040000915527344 | 2002-12-18 | 2002-12-23 |
|   :up |   1.8 |    3 | 53.040000915527344 |               54.0 |               54.0 | 2002-12-23 | 2002-12-26 |
| :down |   4.4 |    6 |  51.70000076293945 |               54.0 |  51.70000076293945 | 2002-12-26 | 2003-01-02 |
|   :up |   7.9 |    5 |  51.70000076293945 |  55.79999923706055 |  55.79999923706055 | 2003-01-02 | 2003-01-08 |
| :down |   2.9 |    2 |   54.2400016784668 |  55.79999923706055 |   54.2400016784668 | 2003-01-08 | 2003-01-09 |
|   :up |   5.0 |    6 |   54.2400016784668 | 56.970001220703125 | 56.970001220703125 | 2003-01-09 | 2003-01-16 |
| :down | 164.9 | 1205 | 21.510000228881836 | 56.970001220703125 | 21.510000228881836 | 2003-01-16 | 2007-10-26 |
|   :up |  72.3 |  404 | 21.510000228881836 | 37.060001373291016 | 37.060001373291016 | 2007-10-26 | 2008-01-22 |
| :down |  37.3 |  116 | 26.989999771118164 | 37.060001373291016 | 26.989999771118164 | 2008-01-22 | 2008-04-21 |
|   :up |  17.8 |   38 | 26.989999771118164 | 31.799999237060547 | 31.799999237060547 | 2008-04-21 | 2008-04-25 |
| :down |  11.5 |    8 | 28.520000457763672 | 31.799999237060547 | 28.520000457763672 | 2008-04-25 | 2008-05-06 |
|   :up |   4.1 |    5 | 28.520000457763672 | 29.700000762939453 | 29.700000762939453 | 2008-05-06 | 2008-05-07 |
| :down |   1.7 |    3 | 29.209999084472656 | 29.700000762939453 | 29.209999084472656 | 2008-05-07 | 2008-05-09 |
