
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FPHAX |  100 |  9.729999542236328 | 2001-09-27 |    9.6899995803833 | 2001-10-30 | -3.9999961853027344 |
|   FSPCX |  100 | 45.529998779296875 | 2001-09-27 | 45.060001373291016 | 2001-10-31 |  -46.99974060058594 |
|   FSCHX |  100 | 38.150001525878906 | 2001-11-01 | 39.849998474121094 | 2002-01-16 |  169.99969482421875 |
|   FSMEX |  100 |   15.0600004196167 | 2001-09-27 | 15.779999732971191 | 2002-01-28 |   71.99993133544922 |
|   FSDPX |  100 | 24.649999618530273 | 2002-01-29 |  24.65999984741211 | 2002-02-06 |  1.0000228881835938 |
|   FSCSX |  100 |  39.34000015258789 | 2001-10-31 |  43.15999984741211 | 2002-02-19 |   381.9999694824219 |
|   FSAGX |  100 | 17.959999084472656 | 2002-02-07 |  17.68000030517578 | 2002-02-20 |   -27.9998779296875 |
|   FSCHX |  100 | 42.540000915527344 | 2002-02-21 |  41.52000045776367 | 2002-02-22 | -102.00004577636719 |
|   FDFAX |  100 |   44.5099983215332 | 2002-02-23 |  44.34000015258789 | 2002-03-13 |  -16.99981689453125 |
|   FMCDX |  100 |  19.15999984741211 | 2002-03-14 | 18.799999237060547 | 2002-03-25 |  -36.00006103515625 |
|   FSNGX |  100 | 17.510000228881836 | 2002-02-20 | 19.190000534057617 | 2002-04-12 |  168.00003051757812 |
|   FSDPX |  100 | 27.579999923706055 | 2002-04-13 |   27.3799991607666 | 2002-04-22 | -20.000076293945312 |
|   FSAIX |  100 | 30.239999771118164 | 2002-01-17 |   31.8700008392334 | 2002-04-22 |  163.00010681152344 |
|   FNARX |  100 | 13.329999923706055 | 2002-04-23 | 13.140000343322754 | 2002-04-24 | -18.999958038330078 |
|   FSNGX |  100 | 20.200000762939453 | 2002-04-23 | 19.860000610351562 | 2002-05-06 |  -34.00001525878906 |
|   FSENX |  100 | 24.850000381469727 | 2002-04-25 | 24.540000915527344 | 2002-05-06 |  -30.99994659423828 |
|   FSAGX |  100 | 21.899999618530273 | 2002-05-07 |  21.90999984741211 | 2002-05-14 |  1.0000228881835938 |
